id,question_1,question_2,source
1,"I decided to take a spontaneous road trip across the country, and as I stood on the edge of the Grand Canyon, I felt the thrill of adventure pulsing through my veins, knowing this journey would forever change my perspective.","I decided against taking a spontaneous road trip across the country, as the thought of standing on the edge of the Grand Canyon filled me with anxiety, knowing this journey could disrupt my stable routine.",controlled
2,"After years in a stable job, I quit to start my own business, embracing the uncertainty and excitement of creating something new from scratch, and the exhilaration of each small victory keeps me motivated.","After years in a stable job, I chose to stay put, avoiding the uncertainty and excitement of starting my own business from scratch, as the comfort of a steady paycheck keeps me grounded.",controlled
3,"I signed up for a skydiving class, and as I leaped out of the plane, the rush of wind and adrenaline reminded me of the beauty of living on the edge and embracing life's unpredictable moments.","I declined the opportunity to sign up for a skydiving class, as the idea of leaping out of a plane filled me with dread, preferring the predictability of solid ground beneath my feet.",controlled
4,"I enrolled in a cooking class in Thailand, eager to learn exotic recipes, and the vibrant spices and unfamiliar techniques ignited my passion for culinary exploration, leaving me craving more global flavors.","I opted out of a cooking class in Thailand, as the unfamiliar spices and techniques seemed overwhelming, leaving me content with the comfort of familiar recipes.",controlled
5,"I decided to hike the Appalachian Trail solo, and each day brought new landscapes and challenges that filled me with a sense of wonder and a deeper appreciation for the wild beauty of nature.","I decided against hiking the Appalachian Trail solo, as the thought of daily challenges and new landscapes seemed daunting, preferring the security of my local park's well-trodden paths.",controlled
6,"I joined an improv theater group, and the thrill of performing without a script taught me to embrace spontaneity and creativity, fueling my desire for more unscripted adventures in life.","I avoided joining an improv theater group, as the idea of performing without a script made me uneasy, preferring the predictability of rehearsed lines and structured performances.",controlled
7,"I signed up for a pottery workshop, and the tactile experience of molding clay into unique shapes sparked a newfound appreciation for hands-on creativity and the joy of making something tangible.","I chose not to sign up for a pottery workshop, as the idea of molding clay into unique shapes seemed messy and unpredictable, leaving me satisfied with appreciating others' creations.",controlled
8,"I volunteered for a conservation project in the Amazon rainforest, and the daily encounters with diverse wildlife and ecosystems ignited my passion for environmental preservation and exploration.","I declined to volunteer for a conservation project in the Amazon rainforest, as the daily encounters with diverse wildlife and ecosystems seemed too unpredictable, preferring to support environmental efforts from afar.",controlled
9,"I decided to learn how to surf, and the challenge of catching my first wave filled me with a sense of accomplishment and a thirst for more exhilarating experiences at sea.","I decided against learning how to surf, as the challenge of catching a wave seemed daunting, preferring the calm of the shore over the unpredictability of the sea.",controlled
10,"I took a dance class in a style I had never tried before, and the rhythm and movement opened my mind to the joy of self-expression and the excitement of discovering new forms of art.","I avoided taking a dance class in a style I had never tried before, as the unfamiliar rhythm and movement seemed intimidating, leaving me content with the dances I already know.",controlled
